name,team,position,fifa_code,group_name,api_football_id,balldontlie_id
MASTIL Melvin,Algeria,GK,ALG,,,
MANDI Aissa,Algeria,DEF,ALG,,,
ABADA Achraf,Algeria,DEF,ALG,,,
TOUGAI Mohamed Amine,Algeria,DEF,ALG,,,
BELAID Zineddine,Algeria,DEF,ALG,,,
ZERROUKI Ramiz,Algeria,MID,ALG,,,
MAHREZ Riyad,Algeria,FWD,ALG,,,
AOUAR Houssem,Algeria,MID,ALG,,,
GOUIRI Amine,Algeria,FWD,ALG,,,
CHAIBI Fares,Algeria,MID,ALG,,,
HADJ MOUSSA Anis,Algeria,FWD,ALG,,,
BENBOUALI Nadhir,Algeria,FWD,ALG,,,
HADJAM Jaouen,Algeria,DEF,ALG,,,
BOUDAOUI Hicham,Algeria,MID,ALG,,,
AIT-NOURI Rayan,Algeria,DEF,ALG,,,
BENBOT Oussama,Algeria,GK,ALG,,,
BELGHALI Rak,Algeria,DEF,ALG,,,
AMOURA Mohamed,Algeria,FWD,ALG,,,
BENTALEB Nabil,Algeria,MID,ALG,,,
BOULBINA Adil,Algeria,FWD,ALG,,,
BENSEBAINI Ramy,Algeria,DEF,ALG,,,
MAZA Ibrahim,Algeria,MID,ALG,,,
ZIDANE Luca,Algeria,GK,ALG,,,
TITRAOUI Yassine,Algeria,MID,ALG,,,
GHEDJEMIS Fares,Algeria,FWD,ALG,,,
CHERGUI Samir,Algeria,DEF,ALG,,,
MUSSO Juan,Argentina,GK,ARG,,,
BALERDI Leonardo,Argentina,DEF,ARG,,,
TAGLIAFICO Nicolas,Argentina,DEF,ARG,,,
MONTIEL Gonzalo,Argentina,DEF,ARG,,,
PAREDES Leandro,Argentina,MID,ARG,,,
MARTINEZ Lisandro,Argentina,DEF,ARG,,,
DE PAUL Rodrigo,Argentina,MID,ARG,,,
BARCO Valentin,Argentina,MID,ARG,,,
ALVAREZ Julian,Argentina,FWD,ARG,,,
MESSI Lionel,Argentina,FWD,ARG,,,
LO CELSO Giovani,Argentina,MID,ARG,,,
RULLI Geronimo,Argentina,GK,ARG,,,
ROMERO Cristian,Argentina,DEF,ARG,,,
PALACIOS Exequiel,Argentina,MID,ARG,,,
GONZALEZ Nico,Argentina,MID,ARG,,,
ALMADA Thiago,Argentina,FWD,ARG,,,
SIMEONE Giuliano,Argentina,FWD,ARG,,,
PAZ Nico,Argentina,FWD,ARG,,,
OTAMENDI Nicolas,Argentina,DEF,ARG,,,
M AC ALLISTER Alexis,Argentina,MID,ARG,,,
LOPEZ Jose Manuel,Argentina,FWD,ARG,,,
MARTINEZ Lautaro,Argentina,FWD,ARG,,,
MARTINEZ Emiliano,Argentina,GK,ARG,,,
FERNANDEZ Enzo,Argentina,MID,ARG,,,
MEDINA Facundo,Argentina,DEF,ARG,,,
MOLINA Nahuel,Argentina,DEF,ARG,,,
RYAN Mathew,Australia,GK,AUS,,,
DEGENEK Milos,Australia,DEF,AUS,,,
CIRCATI Alessandro,Australia,DEF,AUS,,,
ITALIANO Jacob,Australia,DEF,AUS,,,
BOS Jordan,Australia,DEF,AUS,,,
GERIA Jason,Australia,DEF,AUS,,,
LECKIE Mathew,Australia,FWD,AUS,,,
METCALFE Connor,Australia,MID,AUS,,,
TOURE Mohamed,Australia,FWD,AUS,,,
HRUSTIC Ajdin,Australia,FWD,AUS,,,
MABIL Awer,Australia,FWD,AUS,,,
IZZO Paul,Australia,GK,AUS,,,
ONEILL Aiden,Australia,MID,AUS,,,
DEVLIN Cameron,Australia,MID,AUS,,,
TREWIN Kai,Australia,DEF,AUS,,,
BEHICH Aziz,Australia,DEF,AUS,,,
IRANKUNDA Nestory,Australia,FWD,AUS,,,
